jar	application/java-archive
hqx	application/mac-binhex40
doc	application/msword
exe	application/octet-stream
bin	application/octet-stream
pdf	application/pdf
ps	application/postscript
rss	application/rss+xml
rtf	application/rtf
xls	application/vndms-excel
ppt	application/vndms-powerpoint
ppt	application/vndms-powerpoint
dmg	application/x-apple-diskimage
bz2	application/x-bzip2
gz	application/x-gzip
js	application/x-javascript
xml	application/xml
dtd	application/xml-dtd
bat	application/x-msdos-program
pl	application/x-perl
rpm	application/x-redhat-package-manager
swf	application/x-shockwave-flash
targz	application/x-tar
tgz	application/x-tar
tar	application/x-tar
zip	application/zip
au	audio/basic
mp3	audio/mpeg
ogg	"audio/vorbis, application/ogg"
wav	audio/wav
midi	audio/x-midi
bmp	image/bmp
gif	image/gif
jpg	image/jpeg
png	image/png
svg	image/svg+xml
tiff	image/tiff
css	text/css
csv	text/csv
htm	text/html
html	text/html
txt	text/plain
sgml	text/sgml
tsv	text/tab-separated-values
java	text/x-java
py	text/x-python
sh	text/x-sh
avi	video/avi
mp4	video/mp4
mpeg	video/mpeg
mov	video/quicktime
wmv	video/x-ms-wmv
